RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0121-4139,-,1,K*,HIP006351,,00-33,so,01:21:34.6,-41:39:23.0,......,........,59.867,1239.518,-455.784,9.462,1.845,10.385,8.540,.....,4984184825454337408,20.394167,-41.656389
RKS0121+7642,-,1,K*,HIP006379,,00-33,no,01:21:59.1,+76:42:37.0,......,........,58.822,-34.643,-32.660,6.925,1.031,7.387,6.355,.....,560130775546153344,20.496250,76.710278
RKS0122-3337,-,1,K*,,,33-40,so,01:22:04.4,-33:37:03.5,......,........,25.934,109.817,-57.329,10.391,1.804,11.289,9.485,.....,5015973252801591808,20.518333,-33.617639
RKS0122-2653,-,1,K*,HIP006390,G2K000143,00-33,eq,01:22:07.6,-26:53:35.1,......,........,32.559,-58.470,-224.887,8.475,1.167,9.002,7.835,.....,5036553052456200320,20.531667,-26.893083
RKS0122-3312,-,1,K*,HIP006414,,00-33,so,01:22:23.1,-33:12:51.2,......,........,35.992,357.295,-297.104,9.717,1.667,10.533,8.866,.....,5016175391142088576,20.596250,-33.214222
RKS0122+1245,A,2,K*,HIP006431,G2K000144,40-50,eq,01:22:36.6,+12:45:03.4,......,........,22.521,401.563,10.185,9.332,1.180,9.864,8.685,.....,2586715870164766464,20.652500,12.750944
RKS0122+1245,B,-,K*,HIP006431+,G2K000145,40-50,eq,01:22:36.8,+12:45:08.6,......,........,22.580,395.937,15.727,10.981,1.795,11.866,10.071,.....,2586715870164766336,20.653333,12.752389
RKS0123-1257,B,-,K*,,G2K000146,00-33,eq,01:23:00.6,-12:57:30.2,......,........,33.314,452.466,-24.740,9.785,1.861,10.600,8.740,.....,2456361654226797440,20.752500,-12.958389
RKS0123-1257,A,2,K*,HIP006456,G2K000147,00-33,eq,01:23:02.6,-12:57:57.8,......,........,33.211,461.818,-25.612,7.616,1.030,8.077,7.046,.....,2456361448068367360,20.760833,-12.966056
RKS0123-6610,-,1,K*,HIP006483,,33-40,so,01:23:19.0,-66:10:20.9,......,........,26.447,326.504,106.259,9.528,1.280,10.116,8.836,.....,4704814618940885888,20.829167,-66.172472
RKS0124-5651,-,1,K*,,,40-50,so,01:24:09.7,-56:51:30.4,......,........,23.059,53.172,-35.125,9.783,1.312,10.394,9.082,.....,4910641585047480832,21.040417,-56.858444
RKS0124+1254,-,1,K*,HIP006558,G2K000148,33-40,eq,01:24:16.5,+12:54:27.1,......,........,27.280,266.103,-90.298,9.186,1.240,9.754,8.515,.....,2586728480188790144,21.068750,12.907528
RKS0124+2721,-,1,K*,,G2K000149,40-50,eq,01:24:19.1,+27:21:59.1,......,........,21.689,110.696,-59.980,10.558,1.536,11.285,9.749,.....,296535163570698880,21.079583,27.366417
RKS0124+1251,-,1,K*,,G2K000150,40-50,eq,01:24:28.0,+12:51:06.9,......,........,21.333,-74.877,-142.953,10.799,1.619,11.580,9.961,.....,2586727273302673664,21.116667,12.851917
RKS0124+5248,-,1,K*,,,33-40,no,01:24:37.5,+52:48:04.9,......,........,29.363,219.063,-149.292,10.133,1.673,10.952,9.279,.....,410018125199718528,21.156250,52.801361
RKS0124-2615,-,1,K*,,G2K000151,33-40,eq,01:24:47.6,-26:15:20.3,......,........,28.581,-82.141,-376.527,9.920,1.597,10.692,9.095,.....,5036692926655397760,21.198333,-26.255639
RKS0124+1829,-,1,K*,HIP006613,G2K000152,00-33,eq,01:24:53.9,+18:29:59.7,......,........,31.757,547.235,-190.258,8.247,1.069,8.723,7.654,.....,2786053067672564736,21.224583,18.499917
RKS0125-0103,-,1,K*,HIP006639,G2K000153,00-33,eq,01:25:09.5,-01:03:34.8,......,........,31.388,-193.870,-291.367,9.116,1.287,9.711,8.423,.....,2485808048791094784,21.289583,-1.059667
RKS0126-2416,-,1,K*,,G2K000154,40-50,eq,01:26:37.2,-24:16:59.8,......,........,21.413,-111.203,-25.665,9.810,1.197,10.350,9.153,.....,5040358599638828800,21.655000,-24.283278
RKS0127-3552,-,1,K*,,,40-50,so,01:27:01.9,-35:52:00.5,......,........,22.244,-25.721,-64.007,12.371,1.136,12.789,11.653,.....,5013241614945194368,21.757917,-35.866806
RKS0127-2556,-,1,K*,HIP006795,G2K000155,40-50,eq,01:27:27.2,-25:56:12.8,......,........,22.110,-27.394,-140.895,8.915,1.021,9.363,8.342,.....,5037053227167460352,21.863333,-25.936889
RKS0127+2314,-,1,K*,HIP006796,G2K000156,33-40,eq,01:27:27.6,+23:14:40.4,......,........,26.768,164.105,-9.383,9.417,1.355,10.047,8.692,.....,290234480907261312,21.865000,23.244556
RKS0128-5238,-,1,K*,HIP006856,,33-40,so,01:28:08.7,-52:38:19.1,......,........,25.098,106.142,-42.981,8.971,1.196,9.510,8.314,.....,4916062039935185792,22.036250,-52.638639
RKS0128+3136,-,1,K*,HIP006890,,40-50,no,01:28:44.6,+31:36:40.4,......,........,24.767,370.520,63.870,8.991,1.165,9.518,8.353,.....,315601794708097280,22.185833,31.611222
RKS0129+2143,-,1,K*,HIP006917,G2K000157,00-33,eq,01:29:04.9,+21:43:23.4,......,........,42.746,460.032,-183.762,7.420,1.191,7.965,6.775,.....,288781167053300480,22.270417,21.723167
RKS0130-2915,-,1,K*,HIP007018,G2K000158,33-40,eq,01:30:25.0,-29:15:31.9,......,........,26.203,-24.327,220.469,9.148,1.090,9.629,8.539,.....,5035083452086438784,22.604167,-29.258861
RKS0130+4733,-,1,K*,,,40-50,no,01:30:50.6,+47:33:53.5,......,........,20.927,129.110,-87.729,8.590,1.000,8.967,7.967,.....,399101662660373888,22.710833,47.564861
RKS0130+1533,-,1,K*,HIP007053,G2K000159,40-50,eq,01:30:54.4,+15:33:53.8,......,........,23.306,389.574,-63.744,10.195,1.435,10.871,9.436,.....,2592038399796451712,22.726667,15.564944
RKS0130-4852,-,1,K*,HIP007058,,33-40,so,01:30:58.6,-48:52:16.6,......,........,25.367,-348.082,-203.951,9.751,1.423,10.421,8.997,.....,4929662792612851712,22.744167,-48.871278
RKS0132+2059,-,1,K*,,G2K000160,00-33,eq,01:32:44.3,+20:59:15.7,......,........,38.615,419.615,-137.894,11.308,2.214,12.472,10.258,.....,288484608151416960,23.184583,20.987694
RKS0133-2454,-,1,K*,HIP007228,G2K000161,33-40,eq,01:33:09.1,-24:54:51.6,......,........,28.287,-81.519,-215.294,9.563,1.438,10.241,8.803,.....,5038698508879942144,23.287917,-24.914333
RKS0133+2714,-,1,K*,HIP007287,G2K000162,40-50,eq,01:33:53.6,+27:14:08.7,......,........,20.989,484.857,-212.957,10.515,1.592,11.282,9.691,.....,295885382262729216,23.473333,27.235750
RKS0133-5531,-,1,K*,HIP007290,,40-50,so,01:33:55.2,-55:31:25.1,......,........,24.418,-56.358,-146.270,9.595,1.297,10.177,8.880,.....,4912320779822624000,23.480000,-55.523639
RKS0134+6557,-,1,K*,HIP007333,,40-50,no,01:34:24.5,+65:57:49.9,......,........,24.326,-172.735,39.894,10.261,1.481,10.964,9.483,.....,513339031006570240,23.602083,65.963861
RKS0134+7803,-,1,K*,HIP007338,,40-50,no,01:34:30.5,+78:03:47.1,......,........,23.621,-54.979,70.277,10.181,1.596,10.952,9.356,.....,560680428277635456,23.627083,78.063083
RKS0134+8250,-,1,K*,HIP007346,,33-40,no,01:34:41.2,+82:50:55.9,......,........,31.841,294.666,130.733,8.735,1.190,9.276,8.087,.....,572305083684672768,23.671667,82.848861
RKS0135+1016,-,1,K*,HIP007392,G2K000163,40-50,eq,01:35:18.9,+10:16:41.2,......,........,21.335,-106.054,-154.076,11.602,1.791,12.486,10.694,.....,2573210500121246080,23.828750,10.278111
RKS0135-2112,A,2,K*,HIP007396,G2K000164,33-40,eq,01:35:21.0,-21:12:03.9,AB,0.2406,26.151,139.832,-74.567,8.515,1.051,8.975,7.924,304.2,5042876584345665280,23.837500,-21.201083
RKS0135-2112,B,-,..,,,33-40,eq,01:35:21.0,-21:12:03.9,AB,0.2406,26.151,139.832,-74.567,NaN,NaN,NaN,NaN,304.2,,23.837500,-21.201083
RKS0135+4202,-,1,K*,HIP007420,,40-50,no,01:35:37.7,+42:02:19.9,......,........,21.761,127.469,-193.512,10.461,1.596,11.230,9.635,.....,348329170627828480,23.907083,42.038861
RKS0135-5015,B,-,K*,,,40-50,so,01:35:40.3,-50:15:41.7,......,1.722,23.383,235.010,59.264,10.686,1.836,11.381,9.545,290.4,4917653101979809408,23.917917,-50.261583
RKS0135-5015,A,2,K*,HIP007425,,40-50,so,01:35:40.4,-50:15:42.1,......,1.722,23.275,228.328,46.028,10.573,1.788,11.240,9.452,290.4,4917653101978108928,23.918333,-50.261694
RKS0135-2046,-,1,K*,,G2K000165,00-33,eq,01:35:45.7,-20:46:13.8,......,........,38.151,129.272,-25.484,9.570,1.576,10.331,8.755,.....,5138982181310063872,23.940417,-20.770500
RKS0136+2133,-,1,K*,HIP007500,G2K000166,33-40,eq,01:36:39.5,+21:33:47.1,......,........,28.711,261.972,0.766,8.926,1.218,9.488,8.270,.....,288861019085346816,24.164583,21.563083
RKS0137+2657,-,1,K*,,G2K000167,33-40,eq,01:37:23.2,+26:57:12.0,......,........,26.524,118.359,-127.595,10.287,1.575,11.049,9.475,.....,295713102534550272,24.346667,26.953333
RKS0138-4017,-,1,K*,,,33-40,so,01:38:03.2,-40:17:35.2,......,........,25.665,2.067,-109.514,10.501,1.744,11.363,9.619,.....,4960514951447008256,24.513333,-40.293111
RKS0138-2109,-,1,K*,HIP007618+,G2K000168,40-50,eq,01:38:08.5,-21:09:34.6,......,........,21.362,494.127,-656.358,11.244,1.545,11.989,10.444,.....,5138895143797571712,24.535417,-21.159611
RKS0138+4435,-,1,K*,HIP007655,,40-50,no,01:38:33.8,+44:35:25.5,......,........,24.821,155.103,104.470,10.318,1.518,11.041,9.523,.....,350458855931484160,24.640833,44.590417
RKS0138+2626,-,1,K*,,G2K000169,33-40,eq,01:38:48.9,+26:26:51.8,......,........,25.150,31.719,-10.976,8.916,1.164,9.427,8.263,.....,292587538869654400,24.703750,26.447722
RKS0138+2907,-,1,K*,,G2K000170,40-50,eq,01:38:55.9,+29:07:27.0,......,........,20.114,136.103,-44.681,11.295,1.813,12.198,10.385,.....,302157408904751744,24.732917,29.124167
RKS0139-0611,B,-,K*,,G2K000171,40-50,eq,01:39:31.5,-06:11:56.4,......,........,21.295,7.976,2.863,10.650,1.662,11.452,9.790,.....,2479549701620909440,24.881250,-6.199000
RKS0139-0611,A,2,K*,,G2K000172,40-50,eq,01:39:31.6,-06:11:53.4,......,........,21.245,-8.674,-4.918,10.610,1.611,11.383,9.772,.....,2479549701620909312,24.881667,-6.198167
RKS0139-5927,-,1,K*,,,33-40,so,01:39:39.8,-59:27:55.9,......,........,25.782,116.862,139.061,10.518,1.764,11.390,9.626,.....,4716354478806033792,24.915833,-59.465528
RKS0139-4630,-,1,K*,HIP007743,,33-40,so,01:39:41.8,-46:30:35.8,......,........,28.465,17.760,-88.621,9.451,1.409,10.112,8.703,.....,4954335455582406528,24.924167,-46.509944
RKS0139+7342,-,1,K*,HIP007748,,00-33,no,01:39:45.7,+73:42:32.3,......,........,37.133,159.975,-111.115,9.354,1.540,10.095,8.555,.....,534797787124347776,24.940417,73.708972
RKS0139-5611,B,-,K*,,,00-33,so,01:39:47.6,-56:11:47.2,......,11.412,122.133,309.102,10.686,5.604,1.093,6.110,5.017,186.7,4911306239828325760,24.948333,-56.196444
RKS0139-5611,A,2,K*,HIP007751,,00-33,so,01:39:47.8,-56:11:35.9,......,11.412,122.055,262.378,15.333,5.482,1.058,5.976,4.918,186.7,4911306239828325632,24.949167,-56.193306
RKS0139+0215,-,1,K*,,G2K000173,40-50,eq,01:39:49.1,+02:15:35.3,......,........,22.750,-73.406,-179.278,9.414,1.170,9.945,8.775,.....,2558790130245248640,24.954583,2.259806
RKS0139+0021,-,1,K*,,G2K000174,40-50,eq,01:39:52.3,+00:21:21.1,......,........,22.012,61.938,-23.239,10.757,1.628,11.544,9.916,.....,2510264657726407424,24.967917,0.355861
RKS0139+1515,-,1,K*,HIP007765,G2K000175,00-33,eq,01:39:56.1,+15:15:33.4,......,........,40.942,217.996,-58.639,8.674,1.394,9.335,7.941,.....,2589107273595379584,24.983750,15.259278
RKS0140+0151,-,1,K*,HIP007794,G2K000176,33-40,eq,01:40:18.0,+01:51:21.4,......,........,25.703,156.784,-39.680,9.764,1.424,10.433,9.008,.....,2510703195362755968,25.075000,1.855944
RKS0140-1534,-,1,K*,,G2K000177,40-50,eq,01:40:26.8,-15:34:19.3,......,........,20.395,-13.019,24.960,10.854,1.821,11.761,9.939,.....,2452555935245265792,25.111667,-15.572028
RKS0140-3043,-,1,K*,HIP007817,,40-50,so,01:40:34.6,-30:43:42.1,......,........,21.798,498.947,-356.772,10.942,1.608,11.718,10.110,.....,5022016821542110976,25.144167,-30.728361
RKS0140+1537,-,1,K*,HIP007830,G2K000178,33-40,eq,01:40:44.2,+15:37:10.0,......,........,26.825,180.329,-29.166,8.674,1.070,9.153,8.083,.....,2589332879637571328,25.184167,15.619444
RKS0140-4913,-,1,K*,HIP007829,,33-40,so,01:40:44.2,-49:13:54.1,......,........,30.853,292.846,149.287,9.671,1.520,10.398,8.878,.....,4917817582047404928,25.184167,-49.231694
RKS0140+4806,-,1,K*,,,40-50,no,01:40:47.1,+48:06:04.4,......,........,20.170,198.041,-52.603,9.674,1.210,10.223,9.013,.....,399327612298274816,25.196250,48.101222
RKS0140+5018,-,1,K*,,,40-50,no,01:40:54.3,+50:18:00.0,......,........,21.738,10.797,73.641,9.085,1.024,9.534,8.510,.....,405785280312141312,25.226250,50.300000
RKS0140+1352,-,1,K*,,G2K000179,40-50,eq,01:40:56.1,+13:52:14.9,......,........,20.381,84.743,9.238,9.707,1.160,10.227,9.066,.....,2587823215812953344,25.233750,13.870806
RKS0141-0522,-,1,K*,,G2K000180,40-50,eq,01:41:03.1,-05:22:25.4,......,........,22.040,-69.182,-26.768,11.259,1.798,12.155,10.358,.....,2479736137561165312,25.262917,-5.373722
RKS0141-4338,-,1,K*,HIP007858,,40-50,so,01:41:03.6,-43:38:09.9,......,........,21.220,-57.953,-209.375,10.982,1.854,11.901,10.048,.....,4958635267600949248,25.265000,-43.636083
RKS0141+1703,-,1,K*,HIP007930,G2K000181,40-50,eq,01:41:56.9,+17:03:28.6,......,........,23.730,-220.167,-58.869,9.936,1.363,10.573,9.210,.....,91575677777615232,25.487083,17.057944
RKS0142-0114,-,1,K*,,G2K000182,33-40,eq,01:42:01.5,-01:14:45.1,......,........,27.921,-35.043,8.450,10.766,1.880,11.711,9.831,.....,2508735477571090816,25.506250,-1.245861
RKS0142+2016,-,1,K*,HIP007981+,G2K000183,00-33,eq,01:42:29.8,+20:16:06.6,......,........,131.490,-301.592,-674.505,4.970,1.010,5.464,4.453,.....,96331172942614528,25.624167,20.268500
RKS0143-5800,-,1,K*,HIP008035,,40-50,so,01:43:11.0,-58:00:36.4,......,........,21.227,-147.787,-186.696,8.896,1.128,9.401,8.273,.....,4718746569431964672,25.795833,-58.010111
RKS0143-2136,-,X,K*,HIP008038X,G2K000184,00-33,eq,01:43:14.2,-21:36:56.3,......,........,33.617,58.446,-2.625,9.681,1.572,10.423,8.851,.....,5135642002423826560,25.809167,-21.615639
RKS0143-2136,-,X,G*,HIP008039X,G2KG-edge,33-40,eq,01:43:14.3,-21:37:11.2,......,........,32.485,NaN,NaN,NaN,NaN,NaN,NaN,.....,,25.809583,-21.619778
RKS0143+6349,-,1,K*,HIP008070,,00-33,no,01:43:40.7,+63:49:24.2,......,........,73.991,-395.120,-582.695,7.925,1.502,8.641,7.139,.....,512129087182637696,25.919583,63.823389
RKS0143+3458,-,1,K*,,,40-50,no,01:43:46.9,+34:58:12.4,......,........,20.471,78.625,-79.693,10.555,1.743,11.413,9.671,.....,317973097692053248,25.945417,34.970111
RKS0145-1119,-,1,K*,HIP008220,G2K000186,33-40,eq,01:45:50.7,-11:19:48.9,......,........,25.000,123.752,-313.430,9.718,1.382,10.364,8.982,.....,2460612469258254464,26.461250,-11.330250
RKS0145-8018,-,1,K*,HIP008224,,33-40,so,01:45:53.9,-80:18:00.5,......,........,30.501,176.932,210.153,9.234,1.349,9.859,8.510,.....,4630750764075939200,26.474583,-80.300139
RKS0146+1224,-,1,K*,HIP008275,G2K000187,00-33,eq,01:46:38.7,+12:24:42.3,......,........,41.565,31.212,-74.873,8.539,1.290,9.133,7.844,.....,2575383100738086656,26.661250,12.411750
RKS0146-6943,-,1,K*,,,33-40,so,01:46:39.7,-69:43:29.7,......,........,31.408,116.805,57.418,10.133,1.692,10.965,9.272,.....,4694182826832146688,26.665417,-69.724917
RKS0146+6323,-,1,K*,,,33-40,no,01:46:49.5,+63:23:16.0,......,........,25.154,63.236,-82.254,9.732,1.385,10.379,8.994,.....,512058237400513664,26.706250,63.387778
RKS0147-1246,-,1,K*,HIP008361,G2K000188,33-40,eq,01:47:43.4,-12:46:14.3,......,........,27.573,253.157,167.359,9.336,1.372,9.978,8.607,.....,2460132463713337472,26.930833,-12.770639
RKS0147+1216,-,1,K*,,G2K000189,33-40,eq,01:47:49.8,+12:16:03.9,......,........,26.214,184.239,-0.161,8.885,1.096,9.377,8.282,.....,2575364890076792576,26.957500,12.267750
RKS0148+2532,-,1,K*,,G2K000190,33-40,eq,01:48:03.1,+25:32:09.3,......,........,26.103,372.038,-260.316,10.755,1.735,11.606,9.872,.....,291536921149648384,27.012917,25.535917
RKS0148-3220,-,1,K*,HIP008453,,33-40,so,01:48:58.5,-32:20:39.0,......,........,30.891,132.472,160.619,10.460,1.669,11.274,9.605,.....,5018408013925502720,27.243750,-32.344167
RKS0149-7559,-,1,K*,,,40-50,so,01:49:19.0,-75:59:00.4,......,........,21.205,-34.957,-95.562,11.308,1.865,12.239,10.375,.....,4636940877101132160,27.329167,-75.983444
RKS0149+1746,-,1,K*,HIP008489,G2K000191,40-50,eq,01:49:26.7,+17:46:59.0,......,........,21.592,21.469,-206.196,10.658,1.547,11.397,9.850,.....,92048540792594816,27.361250,17.783056
RKS0150+2927,-,1,K*,HIP008543,G2K000192,00-33,eq,01:50:07.9,+29:27:52.4,......,........,36.917,-35.457,-63.469,7.837,0.969,8.261,7.293,.....,302447890428345088,27.532917,29.464556
RKS0150+1817,-,1,K*,,G2K000193,00-33,eq,01:50:28.1,+18:17:46.5,......,........,33.017,240.200,-78.651,10.112,1.789,11.008,9.219,.....,92102618725254912,27.617083,18.296250
RKS0150-0937,-,1,K*,,G2K000194,33-40,eq,01:50:56.5,-09:37:03.4,......,........,27.034,-15.581,-176.139,10.648,1.870,11.587,9.717,.....,2464228213246255744,27.735417,-9.617611
RKS0151-8101,-,1,K*,HIP008701,,33-40,so,01:51:57.9,-81:01:09.8,......,........,30.664,83.792,19.051,8.689,1.088,9.173,8.085,.....,4630471793063461504,27.991250,-81.019389
RKS0152+1755,-,1,K*,HIP008726,G2K000195,40-50,eq,01:52:14.8,+17:55:52.2,......,........,20.527,401.829,13.239,10.811,1.627,11.602,9.975,.....,91887977735200000,28.061667,17.931167
RKS0152+4454,-,1,K*,HIP008728,,33-40,no,01:52:15.5,+44:54:19.1,......,........,25.668,-63.707,83.389,9.301,1.158,9.824,8.665,.....,349928375930601344,28.064583,44.905306
RKS0152+3620,-,1,K*,HIP008753,,40-50,no,01:52:36.3,+36:20:33.1,......,........,20.306,126.531,-179.590,9.787,1.154,10.304,9.150,.....,342307489038297472,28.151250,36.342528
RKS0153+7357,-,1,K*,HIP008825,,40-50,no,01:53:29.0,+73:57:47.8,......,........,24.678,546.607,-172.004,9.926,1.405,10.586,9.180,.....,558869979304646272,28.370833,73.963278
RKS0153-2115,-,1,K*,HIP008830,G2K000196,40-50,eq,01:53:31.4,-21:15:09.8,......,........,23.161,7.038,-247.711,9.024,1.166,9.551,8.385,.....,5135858812372952704,28.380833,-21.252722
RKS0154+5932,-,1,K*,HIP008865,,33-40,no,01:54:02.3,+59:32:56.3,......,........,28.372,192.380,-77.264,9.320,1.332,9.936,8.604,.....,506370979148106240,28.509583,59.548972
RKS0154+6610,-,1,K*,HIP008867,,00-33,no,01:54:06.1,+66:10:34.2,......,........,44.403,-43.122,-140.401,8.141,1.255,8.718,7.463,.....,518458597663391744,28.525417,66.176167
RKS0154-4404,-,1,K*,,,40-50,so,01:54:16.1,-44:04:20.7,......,........,22.470,-73.333,87.713,10.341,1.431,11.013,9.582,.....,4955032099277542144,28.567083,-44.072417
RKS0154-2923,-,1,K*,,G2K000197,40-50,eq,01:54:17.7,-29:23:23.2,......,........,20.384,73.611,-63.385,10.228,1.423,10.898,9.475,.....,5023813762843418880,28.573750,-29.389778
RKS0154-1543,-,1,K*,HIP008881,G2K000198,33-40,eq,01:54:22.2,-15:43:26.3,......,........,26.730,300.120,-138.619,8.883,1.103,9.374,8.270,.....,5142772953804975616,28.592500,-15.723972
RKS0155+7253,-,1,K*,,,33-40,no,01:55:28.9,+72:53:51.3,......,........,28.033,151.769,-25.427,8.637,1.055,9.108,8.053,.....,558519132019195392,28.870417,72.897583
RKS0155+0145,-,1,K*,,G2K000199,33-40,eq,01:55:33.9,+01:45:56.9,......,........,25.446,-1.312,-9.947,10.004,1.101,10.005,8.904,.....,2511412483441853824,28.891250,1.765806
RKS0155-5250,-,1,K*,HIP008987,,40-50,so,01:55:49.3,-52:50:26.7,......,........,24.937,279.823,22.399,9.467,1.373,10.109,8.735,.....,4936319579603955072,28.955417,-52.840750
RKS0155-0523,-,1,K*,,G2K000200,40-50,eq,01:55:52.2,-05:23:27.5,......,........,21.043,77.484,-44.271,10.129,1.351,10.758,9.407,.....,2491709509950009728,28.967500,-5.390972
RKS0155-6050,-,1,K*,,,40-50,so,01:55:59.8,-60:50:15.1,......,........,20.594,14.502,67.122,9.528,1.139,10.040,8.901,.....,4714268842687429248,28.999167,-60.837528
RKS0156-6013,-,1,K*,HIP009044,,00-33,so,01:56:32.5,-60:13:35.8,......,........,49.743,446.406,190.302,8.195,1.384,8.842,7.458,.....,4714571105305843456,29.135417,-60.226611
RKS0156+4354,-,1,K*,HIP009059,,40-50,no,01:56:38.3,+43:54:45.9,......,........,22.449,-201.973,-101.543,9.338,1.154,9.854,8.701,.....,349628587213224448,29.159583,43.912750
RKS0156+2948,-,1,K*,HIP009067,G2K000201,40-50,eq,01:56:43.7,+29:48:39.0,......,........,20.988,-129.841,47.425,10.867,1.697,11.698,10.001,.....,300934099140189312,29.182083,29.810833
RKS0156+2302,-,1,K*,,G2K000202,33-40,eq,01:56:50.1,+23:02:20.0,......,........,29.416,-85.767,-15.240,10.483,1.789,11.373,9.584,.....,98692339803443328,29.208750,23.038889
RKS0157-3310,-,1,K*,,,00-33,so,01:57:04.2,-33:10:20.0,......,........,33.559,-25.693,28.007,9.715,1.036,10.141,9.105,.....,5017700997886248576,29.267500,-33.172222
RKS0157-1014,-,1,K*,,G2K000203,33-40,eq,01:57:11.1,-10:14:53.3,......,........,29.801,-369.078,-246.284,10.522,1.858,11.457,9.598,.....,2462426800883156480,29.296250,-10.248139
RKS0157-0514,-,1,K*,HIP009127,G2K000204,40-50,eq,01:57:40.0,-05:14:00.3,......,........,24.329,195.222,-204.160,8.915,1.139,9.429,8.290,.....,2491727686251632384,29.416667,-5.233417
RKS0158+4041,-,1,K*,,,40-50,no,01:58:17.8,+40:41:30.3,......,........,22.179,-85.077,-92.865,8.767,1.072,9.249,8.177,.....,345678213733721856,29.574167,40.691750
RKS0158-6513,-,1,K*,HIP009187,,33-40,so,01:58:18.7,-65:13:05.1,......,........,31.568,162.130,198.089,9.957,1.624,10.746,9.122,.....,4699155711766600960,29.577917,-65.218083
RKS0159+2314,-,1,K*,,G2K000205,33-40,eq,01:59:12.9,+23:14:12.8,......,........,26.201,-45.740,-124.368,9.427,1.276,10.019,8.743,.....,103942679624729088,29.803750,23.236889
RKS0159-1027,-,1,K*,,G2K000206,40-50,eq,01:59:24.2,-10:27:39.4,......,........,24.985,146.522,-48.511,9.545,1.365,10.181,8.816,.....,2462378628530012544,29.850833,-10.460944
RKS0200+2636,-,1,K*,,G2K000207,00-33,eq,02:00:20.2,+26:36:00.0,......,........,30.420,176.634,63.889,10.394,1.728,11.243,9.515,.....,297848079238404736,30.084167,26.600000
RKS0200+6000,-,1,K*,,,40-50,no,02:00:33.2,+60:00:32.9,......,........,21.125,120.641,-41.475,12.024,1.773,12.870,11.097,.....,507943899247410944,30.138333,60.009139
RKS0200-0259,-,1,K*,,G2K000208,40-50,eq,02:00:47.0,-02:59:20.4,......,........,22.720,159.387,-26.280,9.065,1.096,9.557,8.461,.....,2504611282469638272,30.195833,-2.989000
RKS0200-8031,-,1,K*,HIP009400,,40-50,so,02:00:47.2,-80:31:57.7,......,........,22.612,-67.693,-141.836,8.699,1.009,9.144,8.135,.....,4632033344389469184,30.196667,-80.532694
RKS0200-4550,-,1,K*,HIP009398,,40-50,so,02:00:47.5,-45:50:31.7,......,........,24.010,306.449,46.254,10.157,1.487,10.863,9.376,.....,4942608339438150784,30.197917,-45.842139
RKS0200+1500,-,1,K*,,G2K000209,33-40,eq,02:00:57.7,+15:00:35.6,......,........,25.098,-1.962,-238.364,10.028,1.594,10.801,9.207,.....,77966889217209472,30.240417,15.009889
RKS0201+0055,-,1,K*,,G2K000210,40-50,eq,02:01:04.3,+00:55:12.0,......,........,24.688,-24.602,-11.798,9.828,1.432,10.500,9.069,.....,2508238292156454016,30.267917,0.920000
RKS0201+1301,-,1,K*,HIP009463,G2K000211,33-40,eq,02:01:47.8,+13:01:26.9,......,........,25.542,-128.834,-146.954,9.705,1.441,10.385,8.944,.....,76859028173079424,30.449167,13.024139
RKS0202+0356,-,1,K*,HIP009488,G2K000212,33-40,eq,02:02:03.2,+03:56:25.1,......,........,27.835,-336.792,-322.175,10.076,1.535,10.812,9.277,.....,2517912315148925952,30.513333,3.940306
RKS0202-4057,-,1,K*,HIP009553,,33-40,so,02:02:45.0,-40:57:03.1,......,........,30.564,177.269,-62.019,8.703,1.212,9.256,8.044,.....,4957985696747200256,30.687500,-40.950861
RKS0203+0953,-,1,K*,HIP009599,G2K000213,40-50,eq,02:03:28.3,+09:53:12.6,......,........,21.122,170.190,-6.646,11.245,1.746,12.107,10.361,.....,2571013053118248704,30.867917,9.886833
RKS0203+1235,-,1,K*,HIP009607,G2K000214,40-50,eq,02:03:33.0,+12:35:04.9,......,........,20.997,377.431,-55.695,10.921,1.684,11.745,10.061,.....,76595798217424384,30.887500,12.584694
RKS0203+4650,-,1,K*,,,40-50,no,02:03:49.2,+46:50:12.4,......,........,20.040,119.214,-6.427,11.088,1.647,11.895,10.248,.....,356354329902324096,30.955000,46.836778
RKS0204-1233,-,1,K*,,G2K000215,33-40,eq,02:04:01.7,-12:33:43.5,......,........,29.478,-21.418,-87.429,11.228,1.839,12.147,10.307,.....,5149831681016381440,31.007083,-12.562083
RKS0204-0632,-,1,K*,HIP009657,G2K000216,40-50,eq,02:04:13.8,-06:32:45.9,......,........,20.443,115.419,-189.173,9.248,1.064,9.721,8.656,.....,2490549593902293632,31.057500,-6.546083
RKS0204+2248,-,1,K*,HIP009714,G2K000217,40-50,eq,02:04:58.7,+22:48:08.1,......,........,21.546,360.549,-343.816,9.242,1.115,9.743,8.627,.....,103649316178540416,31.244583,22.802250
RKS0205-2804,-,1,K*,HIP009749+,G2K000218,00-33,eq,02:05:23.7,-28:04:11.0,......,........,38.294,334.447,421.671,10.163,1.919,11.136,9.217,.....,5021412261945549568,31.348750,-28.069722
