RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0005+1804,B,-,K*,HIP000495+,G2K000014,33-40,eq,00:05:55.7,+18:04:30.8,......,3.408,26.542,-154.409,-150.572,9.183,1.177,9.708,8.531,134.9,2773086595766697984,1.482083,18.075222
RKS0006-5933,-,1,K*,,,40-50,so,00:06:26.8,-59:33:46.4,......,........,24.291,56.866,-17.282,10.000,1.431,10.671,9.240,.....,4917991163149469696,1.611667,-59.562889
RKS0007-2349,-,1,K*,HIP000616,G2K000015,00-33,eq,00:07:32.5,-23:49:07.3,......,........,30.564,320.793,91.219,8.473,1.006,8.913,7.908,.....,2336728947968831104,1.885417,-23.818694
RKS0008+6627,-,1,K*,HIP000723,,33-40,no,00:08:57.2,+66:27:23.9,......,........,27.472,177.747,4.369,8.376,1.063,8.852,7.789,.....,528378632083865856,2.238333,66.456639
RKS0008-2507,-,1,K*,,G2K000016,40-50,eq,00:08:59.6,-25:07:16.9,......,........,21.836,550.707,-16.137,11.279,1.777,12.160,10.383,.....,2336386003420150016,2.248333,-25.121361
RKS0009+2516,-,1,K*,,G2K000017,40-50,eq,00:09:13.9,+25:16:38.9,......,........,22.479,171.422,-145.634,10.891,1.745,11.753,10.007,.....,2850307152810958336,2.307917,25.277472
RKS0009-3149,-,1,K*,HIP000787,,40-50,so,00:09:43.9,-31:49:31.9,......,........,22.588,404.733,-233.688,9.209,1.211,9.756,8.545,.....,2319458472154577536,2.432917,-31.825528
RKS0010+6728,-,1,K*,,,33-40,no,00:10:04.2,+67:28:11.0,......,........,25.035,-37.295,-62.847,9.394,1.188,9.930,8.743,.....,528898838523503360,2.517500,67.469722
RKS0011+5820,-,1,K*,HIP000916,,00-33,no,00:11:21.2,+58:20:59.7,......,........,35.639,228.191,21.075,9.006,1.518,9.729,8.211,.....,422886126401496064,2.838333,58.349917
RKS0011-5728,-,1,K*,HIP000934,,33-40,so,00:11:35.8,-57:28:21.1,......,........,26.919,135.195,-67.025,8.795,1.044,9.256,8.211,.....,4919232000676748928,2.899167,-57.472528
RKS0011-3913,-,1,K*,HIP000948,,33-40,so,00:11:41.6,-39:13:47.8,......,........,28.664,738.499,-125.657,9.558,1.378,10.194,8.816,.....,4996711836306613120,2.923333,-39.229944
RKS0012+2705,-,1,K*,HIP000974,G2K000018,00-33,eq,00:12:04.0,+27:05:56.2,......,........,38.565,283.052,-82.023,8.396,1.219,8.950,7.732,.....,2856765684112654336,3.016667,27.098944
RKS0012+1433,-,1,K*,HIP000999,G2K000019,40-50,eq,00:12:30.3,+14:33:48.8,......,........,22.682,325.739,-80.542,8.180,1.046,8.643,7.597,.....,2768404669096691072,3.126250,14.563556
RKS0012+2142,-,1+,K*,HIP001006,G2K000020,00-33,eq,00:12:33.5,+21:42:48.3,......,........,32.013,190.244,-287.207,11.010,1.886,11.969,10.083,.....,2798963773724811904,3.139583,21.713417
RKS0012+3416,-,1,K*,,,40-50,no,00:12:34.6,+34:16:01.4,......,........,21.026,-247.863,-366.513,11.224,1.678,12.046,10.368,.....,2875786135761519488,3.144167,34.267056
RKS0012-1543,-,1,K*,,G2K000021,40-50,eq,00:12:53.9,-15:43:33.7,......,........,20.737,293.932,160.932,11.644,1.890,12.593,10.704,.....,2416406741702900608,3.224583,-15.726028
RKS0013-4510,-,1,K*,HIP001044,,33-40,so,00:13:02.6,-45:10:36.3,......,........,25.725,-59.352,-171.366,10.218,1.601,10.993,9.392,.....,4990906895948872704,3.260833,-45.176750
RKS0013+2022,B,-,..,,,40-50,eq,00:13:09.2,+20:22:56.7,AB,0.7681,24.069,223.963,-2.347,NaN,NaN,NaN,NaN,163.2,,3.288333,20.382417
RKS0013+2022,A,2,K*,HIP001055,G2K000022,40-50,eq,00:13:09.2,+20:22:56.7,AB,0.7681,24.069,223.963,-2.347,10.090,1.621,10.653,9.032,163.2,2798587122272590080,3.288333,20.382417
RKS0013+0535,-,1,K*,,G2K000023,40-50,eq,00:13:09.2,+05:35:43.0,......,........,23.556,-111.408,-203.650,10.210,1.663,11.011,9.347,.....,2742288759677191168,3.288333,5.595278
RKS0013+1553,-,1,K*,,G2K000024,40-50,eq,00:13:21.5,+15:53:38.7,......,........,20.378,165.654,81.004,11.058,1.634,11.854,10.219,.....,2769414811045035776,3.339583,15.894083
RKS0013+1904,-,1,K*,HIP001078,G2K000025,33-40,eq,00:13:24.6,+19:04:16.8,......,........,29.445,442.912,-126.465,9.427,1.429,10.101,8.672,.....,2797598283362162944,3.352500,19.071333
RKS0013-4021,-,1,K*,HIP001085,,33-40,so,00:13:30.9,-40:21:29.7,......,........,28.006,122.375,49.508,8.795,1.100,9.284,8.184,.....,4996401292991097600,3.378750,-40.358250
