main_name,plan_id,num_obs,objectname,ra_j2000,dec_j2000,epoch,airmass,shutter_ut_time_date,exptime,emavg,emnumsmp,snrem,decker,temp_chiron,pathfile,comments
 ,546, ,2MA0201_0117A,02:01:47.47,01:17:17.3,2000.0,1.173,2019-12-12T01:27:14.086,900.0,2.23,8995,14.783941899660066,fiber,23.217,/nfs/morgan/chiron/tous/mir7/fitspec/191211/achi191211.1123.fits,
 ,546, ,2MA0201_0117A,02:01:48.11,01:17:10.3,2000.0,1.453,2021-09-20T04:25:16.320,1800.0,2.35,18000,24.548638154096807,fiber,22.968,/nfs/morgan/chiron/tous/mir7/fitspec/210919/achi210919.1145.fits,
2MA0201_0117B,546,20,2MA0201_0117B,02:01:46.91,01:17:16.4,2000.0,1.246,2021-08-30T06:53:03.674,1000.0,2.33,10000,16.569087156236822,fiber,22.966,/nfs/morgan/chiron/tous/mir7/fitspec/210829/achi210829.1151.fits,
 ,546, ,2MA0201_0117B,02:01:47.18,01:17:14.8,2000.0,1.217,2021-08-30T07:09:48.164,1000.0,2.36,9999,16.72346966031552,fiber,22.96,/nfs/morgan/chiron/tous/mir7/fitspec/210829/achi210829.1152.fits,
 ,546, ,2MA0201_0117B,02:01:47.72,01:17:14.6,2000.0,1.184,2021-09-25T05:58:11.173,1800.0,2.22,17999,23.710526618156713,fiber,23.031,/nfs/morgan/chiron/tous/mir7/fitspec/210924/achi210924.1151.fits,
 ,546, ,2MA0201_0117B,02:01:49.69,01:17:05.8,2000.0,1.908,2021-02-05T01:11:29.825,900.0,2.22,8999,14.736518686262173,fiber,23.205,/nfs/morgan/chiron/tous/mir7/fitspec/210204/achi210204.1120.fits,
 ,546, ,2MA0201_0117B,02:01:47.58,01:17:11.5,2000.0,1.184,2021-09-18T06:25:42.175,1800.0,2.45,18001,25.17461408418388,fiber,22.594,/nfs/morgan/chiron/tous/mir7/fitspec/210917/achi210917.1150.fits,
 ,546, ,2MA0201_0117B,02:01:48.03,01:17:16.9,2000.0,1.216,2021-09-25T05:28:06.681,1800.0,2.23,18000,23.776789809624706,fiber,23.033,/nfs/morgan/chiron/tous/mir7/fitspec/210924/achi210924.1150.fits,
 ,546, ,2MA0201_0117B,02:01:48.09,01:17:14.9,2000.0,1.204,2021-09-20T05:57:12.011,1800.0,2.48,18000,25.358309524124245,fiber,22.968,/nfs/morgan/chiron/tous/mir7/fitspec/210919/achi210919.1149.fits,
 ,546, ,2MA0201_0117B,02:01:49.70,01:17:06.6,2000.0,1.762,2021-02-05T00:56:25.346,900.0,2.27,8999,14.997830922967774,fiber,23.208,/nfs/morgan/chiron/tous/mir7/fitspec/210204/achi210204.1119.fits,
 ,546, ,2MA0201_0117B,02:01:48.05,01:17:12.1,2000.0,1.175,2021-09-22T06:54:13.777,1800.0,2.45,17999,25.17293345580009,fiber,22.959,/nfs/morgan/chiron/tous/mir7/fitspec/210921/achi210921.1158.fits,
 ,546, ,2MA0201_0117B,02:01:48.74,01:17:33.9,2000.0,1.369,2021-06-30T10:07:47.285,1000.0,2.27,9999,16.252211110738614,fiber,23.202,/nfs/morgan/chiron/tous/mir7/fitspec/210629/achi210629.1186.fits,
 ,546, ,2MA0201_0117B,02:01:48.47,01:17:32.0,2000.0,1.315,2021-06-30T10:24:31.774,1000.0,2.23,10000,16.039519202333807,fiber,23.205,/nfs/morgan/chiron/tous/mir7/fitspec/210629/achi210629.1187.fits,
 ,546, ,2MA0201_0117B,02:01:47.92,01:17:16.2,2000.0,1.230,2021-09-21T05:35:03.127,1800.0,2.39,17999,24.799751290963872,fiber,22.886,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1148.fits,
 ,546, ,2MA0201_0117B,02:01:47.77,01:17:14.7,2000.0,1.191,2021-09-21T06:05:07.611,1800.0,2.29,18001,24.16661393822019,fiber,22.886,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1149.fits,
 ,546, ,2MA0201_0117B,02:01:47.81,01:17:13.4,2000.0,1.216,2021-09-18T05:55:37.681,1800.0,2.48,18001,25.359153923863545,fiber,22.579,/nfs/morgan/chiron/tous/mir7/fitspec/210917/achi210917.1149.fits,
 ,546, ,2MA0201_0117B,02:01:48.03,01:17:27.1,2000.0,1.188,2019-12-12T02:00:07.534,900.0,2.24,8995,14.836382215158837,fiber,23.214,/nfs/morgan/chiron/tous/mir7/fitspec/191211/achi191211.1126.fits,
 ,546, ,2MA0201_0117B,02:01:47.93,01:17:16.0,2000.0,1.253,2021-09-20T05:27:07.519,1800.0,2.47,18000,25.29694718321722,fiber,22.966,/nfs/morgan/chiron/tous/mir7/fitspec/210919/achi210919.1148.fits,
 ,546, ,2MA0201_0117B,02:01:48.66,01:17:12.0,2000.0,1.195,2021-09-22T07:24:18.268,1800.0,2.43,17999,25.049157149053556,fiber,22.945,/nfs/morgan/chiron/tous/mir7/fitspec/210921/achi210921.1159.fits,
 ,546, ,2MA0201_0117B,02:01:47.91,01:17:20.2,2000.0,1.210,2021-08-04T08:57:14.232,1000.0,2.44,9999,17.131486636039718,fiber,23.255,/nfs/morgan/chiron/tous/mir7/fitspec/210803/achi210803.1160.fits,
